id,img,label,text,split,text_idx,pseudo_text_idx,pseudo_img_idx,gold_pc,gold_attack,pc,attack,disability_gold_pc,nationality_gold_pc,pc_empty_gold_pc,race_gold_pc,religion_gold_pc,sex_gold_pc,attack_empty_gold_attack,contempt_gold_attack,dehumanizing_gold_attack,exclusion_gold_attack,inciting_violence_gold_attack,inferiority_gold_attack,mocking_gold_attack,slurs_gold_attack,disability_pc,nationality_pc,pc_empty_pc,race_pc,religion_pc,sex_pc,attack_empty_attack,contempt_attack,dehumanizing_attack,exclusion_attack,inciting_violence_attack,inferiority_attack,mocking_attack,slurs_attack
42953,img/42953.png,0,its their character not their color that matters,train,0,2161,0,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23058,img/23058.png,0,don't be afraid to love again everyone is not like your ex,train,1,2931,2816,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13894,img/13894.png,0,putting bows on your pet,train,2,0,5188,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
37408,img/37408.png,0,i love everything and everybody! except for squirrels i hate squirrels,train,3,3542,3435,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
82403,img/82403.png,0,"everybody loves chocolate chip cookies, even hitler",train,4,4614,1,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
16952,img/16952.png,0,go sports! do the thing! win the points!,train,5,4708,2,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
76932,img/76932.png,0,fine you're right. now can we fucking drop it?,train,6,3015,3,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
70914,img/70914.png,0,tattoos are bad for your health i know 5 million people that had tattoos and they all died,train,7,1,5843,['religion'],['mocking'],['religion'],['mocking'],0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2973,img/02973.png,0,how long can i run? till the chain tightens,train,8,2,3364,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
58306,img/58306.png,0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",train,9,3,5882,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
