id,img,label,text,split,text_idx,pseudo_text_idx,pseudo_img_idx,gold_pc,gold_attack,pc,attack,disability_gold_pc,nationality_gold_pc,pc_empty_gold_pc,race_gold_pc,religion_gold_pc,sex_gold_pc,attack_empty_gold_attack,contempt_gold_attack,dehumanizing_gold_attack,exclusion_gold_attack,inciting_violence_gold_attack,inferiority_gold_attack,mocking_gold_attack,slurs_gold_attack,disability_pc,nationality_pc,pc_empty_pc,race_pc,religion_pc,sex_pc,attack_empty_attack,contempt_attack,dehumanizing_attack,exclusion_attack,inciting_violence_attack,inferiority_attack,mocking_attack,slurs_attack,description,keywords
2973,img/02973.png,0.0,how long can i run? till the chain tightens,train,8,2,3364,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"A dog is shown with its tongue hanging out of its mouth, wearing a collar attached to a chain.","dog, tongue, collar, chain, pet, animal"
2146,img/02146.png,0.0,from the bottom of my heart i would like to sincerely apologize..... for being white,train,20,3056,2958,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Several birds are perched together on a wooden branch against a neutral background.,"birds, perched, wooden branch, group, neutral background"
1569,img/01569.png,0.0,when you can't decide to pre heat the oven or just throw the meal in right away,train,38,11,3825,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Two women are in a kitchen, with one holding a knife and the other smiling, possibly preparing a meal together.","kitchen, two women, knife, smiling, meal preparation"
6418,img/06418.png,0.0,1 bomb every minute,train,40,12,4914,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"A person's hands are holding a red bag filled with visible wires, suggesting the bag may contain an electronic device or components.","hands, red bag, wires, electronic device, components"
4876,img/04876.png,0.0,goin,train,45,5592,21,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A single fishing hook with a sharp curved point is shown clearly against a plain white background.,"fishing hook, curved point, sharp, single, white background"
2497,img/02497.png,0.0,you're a wizard motherfucker,train,59,3010,2909,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"A man wearing a black leather jacket and a hat is present in the image, appearing to embody a rebellious or unconventional persona.","man, black leather jacket, hat, rebellious, unconventional, portrait"
2476,img/02476.png,0.0,im never doing a garden again!,train,75,7275,27,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A woman is walking through a field while carrying a basket.,"woman, field, walking, basket, outdoors"
6937,img/06937.png,0.0,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion",train,76,4964,4916,['religion'],['dehumanizing'],['religion'],"['dehumanizing', 'contempt']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"The image shows a group of people walking together through a foggy environment, making their figures partially obscured by the mist.","group, people, fog, walking, mist, obscured, environment"
5762,img/05762.png,0.0,"listen bitch, before you start fucking with me you should know my team is bigger",train,77,6092,6026,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"A black and white photo shows a woman sitting alone at a table, with a serious or assertive expression on her face, creating a tense atmosphere.","black and white, woman, sitting, table, serious expression, tense atmosphere, alone"
5384,img/05384.png,0.0,spending quality time with dad,train,100,32,2219,['pc_empty'],['attack_empty'],['pc_empty'],['attack_empty'],0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"A man and a young woman are sharing a close, affectionate moment together in an open field, with greenery visible around them.","man, woman, affection, field, outdoors, greenery, togetherness"
