id,img,label,text,split,text_idx,pseudo_text_idx,pseudo_img_idx
42953,img/42953.png,0.0,its their character not their color that matters,train,0,2161,0
23058,img/23058.png,0.0,don't be afraid to love again everyone is not like your ex,train,1,2931,2816
13894,img/13894.png,0.0,putting bows on your pet,train,2,0,5188
37408,img/37408.png,0.0,i love everything and everybody! except for squirrels i hate squirrels,train,3,3542,3435
82403,img/82403.png,0.0,"everybody loves chocolate chip cookies, even hitler",train,4,4614,1
16952,img/16952.png,0.0,go sports! do the thing! win the points!,train,5,4708,2
76932,img/76932.png,0.0,fine you're right. now can we fucking drop it?,train,6,3015,3
70914,img/70914.png,0.0,tattoos are bad for your health i know 5 million people that had tattoos and they all died,train,7,1,5843
02973,img/02973.png,0.0,how long can i run? till the chain tightens,train,8,2,3364
58306,img/58306.png,0.0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",train,9,3,5882
79351,img/79351.png,1.0,jew mad? get fuhrerious!,train,10,7272,4
34096,img/34096.png,0.0,"removes polish with chemicals, nobody bats an eye",train,11,3069,2974
25489,img/25489.png,1.0,brother... a day without a blast is a day wasted,train,12,4989,4933
19324,img/19324.png,0.0,when you're the only dog left at the dog shelter and the black family wants to adopt you,train,13,4,4453
79346,img/79346.png,0.0,voting for hillary is like letting casey anthony watch your kids because she's not guilty,train,14,5,5
13426,img/13426.png,0.0,they will soon be free,train,15,2330,6
97628,img/97628.png,0.0,"is it ok for your son or daughter to call another man ""daddy?",train,16,3027,2930
14238,img/14238.png,0.0,most religions are religions of peace,train,17,1814,7
28936,img/28936.png,0.0,when you find out there's an opening for the role of first lady,train,18,2897,8
59784,img/59784.png,0.0,if people reject me because i stand on the truth then i have no problem walking alone,train,19,2850,2736
02146,img/02146.png,0.0,from the bottom of my heart i would like to sincerely apologize..... for being white,train,20,3056,2958
70146,img/70146.png,0.0,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border",train,21,6,6869
28061,img/28061.png,0.0,just because they do this dosen't mean they'll do this,train,22,4302,9
97180,img/97180.png,0.0,if there is no race it can't be homicide,train,23,7,6573
49752,img/49752.png,0.0,here's to all my friends who never post about politics or religion,train,24,6323,10
25610,img/25610.png,0.0,enjoying a day at the beach,train,25,4475,11
15872,img/15872.png,0.0,when you come home from a long day of suicide bombinb and your wife gives you this look,train,26,8,12
72640,img/72640.png,1.0,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.",train,27,2265,2156
64318,img/64318.png,0.0,when they take too long to blow out the candle,train,28,2509,13
17956,img/17956.png,0.0,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell,train,29,4292,4219
93547,img/93547.png,1.0,d.j. osama spin laden droppin' beats like the twin towers,train,30,6424,6332
10743,img/10743.png,0.0,move to new york they said it'll be fun they said,train,31,6327,14
37091,img/37091.png,0.0,my sandwich-maker is very slow today,train,32,3097,2999
25719,img/25719.png,0.0,when you accidentally fall in the toilet,train,33,2429,15
76825,img/76825.png,0.0,two woman walking home together after a nice day out together,train,34,2266,16
72598,img/72598.png,0.0,texas churches be like... pew pew pew,train,35,9,5836
43078,img/43078.png,0.0,i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky,train,36,4216,17
51846,img/51846.png,0.0,doesn't wear tampons because she trips over the string,train,37,10,5440
01569,img/01569.png,0.0,when you can't decide to pre heat the oven or just throw the meal in right away,train,38,11,3825
95812,img/95812.png,0.0,happy shot in the face day 5-2-2011,train,39,5579,18
06418,img/06418.png,0.0,1 bomb every minute,train,40,12,4914
53976,img/53976.png,0.0,black power comes with a lot of responsibility,train,41,7286,19
70193,img/70193.png,0.0,that chiken is so black no one is going to eat it,train,42,4672,20
60427,img/60427.png,0.0,i hope both teams lose,train,43,2996,2898
78395,img/78395.png,0.0,say the damn pronouns,train,44,2796,2694
04876,img/04876.png,0.0,goin,train,45,5592,21
92075,img/92075.png,0.0,we need problem solvers not racist and religious bigots in office,train,46,6710,22
86354,img/86354.png,0.0,officer down,train,47,13,2376
74386,img/74386.png,1.0,we said we would never forget why are you voting them into our government?,train,48,14,3691
59613,img/59613.png,0.0,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,train,49,15,3333
10263,img/10263.png,0.0,"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism""",train,50,5563,5514
48279,img/48279.png,0.0,nice watch must have cost an arm and a leg,train,51,16,5364
52610,img/52610.png,1.0,i'm sick of politics so here's a pic of michelle obama riding a unicorn,train,52,7013,6903
58371,img/58371.png,0.0,when you suck at photoshop,train,53,3309,23
27401,img/27401.png,0.0,for the last time.. i'm not michelle obama,train,54,17,4652
89574,img/89574.png,0.0,i'm cute,train,55,5719,5653
25473,img/25473.png,0.0,and then i told them you're going on a fun camping trip,train,56,18,5952
47913,img/47913.png,0.0,"the jussie smollett case explained. ""how do you plead? "" ""innocent!!!"" ""black, gay, trump hater, friend of michelle obama",train,57,2676,2573
08295,img/08295.png,0.0,please consider donating water to children in need,train,58,4948,24
02497,img/02497.png,0.0,you're a wizard motherfucker,train,59,3010,2909
90471,img/90471.png,0.0,"relax mexicans you are rapists, drug lords and criminals",train,60,5700,5634
69357,img/69357.png,1.0,hey look at me! i'm a serial pedofile,train,61,19,25
54602,img/54602.png,1.0,when you just finished shooting a bunch of black kids but accidently killed a squirrel,train,62,2771,2679
15320,img/15320.png,0.0,obama working to legalize medical cannabis for all of the usa,train,63,3838,3743
63182,img/63182.png,0.0,my wife just got a seashell tattoo on her inner thigh if you put your ear to it you can smell the ocean,train,64,2254,2144
20619,img/20619.png,1.0,when you beat the shit out of the tranny hooker after you nut and call it a f****t but it doesn't get back up,train,65,5707,5641
82457,img/82457.png,0.0,ring ring hello? i've been waiting for your call all damn day!!!,train,66,5980,5924
81059,img/81059.png,0.0,i like my refugees like this '' '' '',train,67,20,7140
42137,img/42137.png,0.0,when you get hungry you can either think about it or..,train,68,5144,26
74530,img/74530.png,1.0,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,train,69,21,5374
40832,img/40832.png,0.0,taking photo with a mosque,train,70,3868,3775
46127,img/46127.png,0.0,"""ay, tone. how'd da gas stay in if da door is made of wood?""",train,71,22,4829
87594,img/87594.png,0.0,"what do i have in common with cow pies? the older we get, the easier for you to pick us up!",train,72,23,6791
12548,img/12548.png,0.0,running chocolate,train,73,24,5547
12894,img/12894.png,0.0,"imagine, if you will an entire country so ignorant that the people wilfully give billions of dollars in order to elect rich criminals to rule over their lives and steal their money, but believe they are free",train,74,5568,5516
02476,img/02476.png,0.0,im never doing a garden again!,train,75,7275,27
06937,img/06937.png,0.0,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion",train,76,4964,4916
05762,img/05762.png,0.0,"listen bitch, before you start fucking with me you should know my team is bigger",train,77,6092,6026
40259,img/40259.png,0.0,masturbation it's not just for men,train,78,2078,1973
85072,img/85072.png,0.0,what is this sleep of which you speak?,train,79,2383,2269
46537,img/46537.png,0.0,"oakland mayor libby schaaf i saved 800 ms-13 rapists, murderers, molesters from ice",train,80,2871,2755
56432,img/56432.png,0.0,"what if i told you that you cant ""tolerate"" a person who agrees with you? """,train,81,6667,28
39805,img/39805.png,0.0,look both ways before you cross the street,train,82,5475,5430
29163,img/29163.png,1.0,what kind of punch can take out 20 kids and 6 adults? a sandy hook,train,83,25,3900
