image,description,keywords
01235_mask.png,"A man wearing a black shirt and a white hat is raising his hands, and his facial expression suggests a playful or mischievous mood.","man, black shirt, white hat, hands up, mischievous, playful, adult, facial expression"
01236_mask.png,"Several men are gathered together in front of a sheep, standing outdoors.","men, group, sheep, outdoors, gathered"
01243_mask.png,"A white and brown dog is sitting on a vibrant green grass field, looking relaxed and attentive.","dog, white, brown, green field, grass, sitting, outdoors, pet, animal"
01245_mask.png,"A young boy dressed in a camouflage jacket and matching hat is looking at the camera, smiling.","boy, camouflage jacket, hat, smile, camera, young, clothing"
01247_mask.png,"A black and white photo featuring a man wearing a uniform, possibly related to law enforcement or the military, with no visible insignia or specific racial identifiers.","black and white, man, uniform, monochrome, male, portrait, person"
01256_mask.png,"A close-up shot of a dog's face, with the dog's eyes and nose prominently visible in the frame.","dog, close-up, face, eyes, nose, animal, canine"
01258_mask.png,A woman with long hair is wearing sunglasses and holding a cigarette near her mouth.,"woman, sunglasses, cigarette, smoking, long hair"
01264_mask.png,"A squirrel is sitting on the top of a tree trunk, possibly looking alert or curious.","squirrel, tree trunk, sitting, animal, nature"
01268_mask.png,A man and a young girl are embracing each other while sitting on a bed in a cozy indoor setting.,"man, girl, hug, bed, embrace, indoor, family, bonding"
01269_mask.png,A green frog puppet is placed on top of a white rectangular box.,"green, frog, puppet, white box, stuffed animal, Kermit, toy"
01274_mask.png,A man wearing a hat and a jacket is leaning against a wall in a casual manner.,"man, hat, jacket, wall, leaning, casual, clothing"
01275_mask.png,"A man dressed in a suit and tie is speaking into several microphones, appearing to address an audience or the media.","man, suit, tie, microphones, speaking, media, address, audience"
01276_mask.png,"A young boy with a bright smile is positioned near a swimming pool, with water visible in the background.","boy, smile, swimming pool, water, youth, outdoors"
01284_mask.png,A man is sitting at a table with several dishes of food placed in front of him.,"man, sitting, table, food, dishes"
01293_mask.png,"A person’s hand is shown with a thick layer of melted chocolate covering the skin, appearing messy and sticky.","hand, melted chocolate, messy, sticky, skin, person"
01295_mask.png,"A person dressed in a red robe is sitting on a chair, resembling traditional clergy attire.","person, red robe, sitting, chair, clergy, attire"
01324_mask.png,A black and white photograph shows several men posing together in front of a storefront.,"black and white, men, photograph, storefront, group, posing"
01325_mask.png,"A man wearing a blue head scarf and a white shirt is opening his mouth in a strong expression, likely reacting with excitement or surprise.","man, blue head scarf, white shirt, open mouth, expression, excitement, surprise"
01327_mask.png,"A television screen displays an image of the Joker's face, characterized by striking makeup and a sinister smile, set against a dark background.","television, screen, Joker, face, makeup, sinister smile, dark background"
01329_mask.png,"A man is sitting in a chair, likely preparing or embodying a cowboy theme.","man, chair, sitting, cowboy, preparing, western, costume"
01348_mask.png,Two men are seen near a flock of sheep in an outdoor rural setting.,"men, sheep, flock, outdoor, rural, animals"
01349_mask.png,"An old black and white photo shows a man and a young girl together, capturing a moment that appears to convey affection or recognition.","black and white, man, young girl, old photo, affection, recognition"
01359_mask.png,A man wearing a white shirt is holding a microphone and appears to be shouting or singing passionately.,"man, white shirt, microphone, singing, shouting, passion"
01364_mask.png,Several people dressed in white outfits are positioned closely together in a group.,"people, group, white outfits, together, group photo"
01379_mask.png,"A young woman is holding a small child on her lap, both appear to be engaged together in a caring and gentle environment.","woman, child, lap, young, together, caring, gentle, sitting"
01382_mask.png,A hand is writing the phrase 'my body my choice' on a green chalkboard using white chalk.,"hand, writing, chalkboard, chalk, my body my choice, green, phrase, education"
01389_mask.png,"A man is holding a cat in his arms, and they appear to be together in a public place such as a mall.","man, cat, holding, public place, mall, companionship, indoor, arms"
01392_mask.png,"A young girl is holding a cellphone to her ear, appearing to engage in a phone conversation.","girl, cellphone, conversation, child, phone call"
01395_mask.png,"A man is sitting beside a woman who is lying in a hospital bed, both appearing engaged in a conversation or shared moment.","man, woman, hospital bed, conversation, sitting, lying, hospital, patients, together"
01423_mask.png,"A man lies unclothed on a bed with his head resting on a pillow, appearing exhausted and relaxed, possibly after physical activity.","man, bed, pillow, naked, resting, exhausted, relaxed"
01436_mask.png,A frog and a bird are sitting together on top of a flower.,"frog, bird, flower, perched, animals, nature"
01439_mask.png,"Two goats are standing on a rocky hillside with scattered stones and sparse vegetation, surrounded by mountainous terrain.","goat, rocky hillside, mountain, stones, vegetation, animal, outdoors"
01452_mask.png,"A mother gorilla gently sits in the grass with her baby nestled close, surrounded by green vegetation.","gorilla, mother, baby, grass, nature, green, wildlife"
01456_mask.png,A black and white photo showing multiple people inside a car.,"black and white, people, car, group, photo"
01459_mask.png,"A woman is sitting on the floor, looking concerned and surrounded by numerous black spiders crawling around her.","woman, sitting, floor, spiders, surrounded, concerned, black, crawling"
01465_mask.png,"A group of people wearing white and red clothing are gathered together, some of them holding flags.","group, people, white clothing, red clothing, flags, gathering"
01467_mask.png,A man is smiling and giving a thumbs up gesture with one of his hands.,"man, thumbs up, gesture, smiling, hand"
01468_mask.png,"A young child is sitting on a toilet in a bathroom, appearing to be in the middle of toilet training or personal hygiene, with standard bathroom fixtures visible around her.","child, toilet, bathroom, personal hygiene, toilet training, fixtures"
01469_mask.png,A man wearing a gas mask is holding a rifle.,"man, gas mask, rifle, weapon, military, armed, mask, firearm"
01472_mask.png,A woman wearing a headdress sits at a table holding a drink in her hand.,"woman, headdress, table, drink, sitting, hand"
01475_mask.png,"The image is a painting depicting a man with long black hair, wearing a crown on his head, suggesting he is a royal or historical figure.","painting, man, long black hair, crown, royal, historical figure"
01476_mask.png,A young girl wearing a red sweater is holding a pair of skis.,"girl, red sweater, skis, young, holding, child, sports"
01483_mask.png,"Several men are seated together, facing the camera in an indoor setting.","men, group, seated, indoor, camera, together"
01487_mask.png,A young girl holds a rectangular sign while standing in front of a plain wall.,"girl, sign, wall, rectangular, holding"
01492_mask.png,"A woman is on a beach near the ocean, wearing a visor to shield herself from the sun.","woman, beach, ocean, visor, sun, outdoor, headwear"
01497_mask.png,"A man is carrying a child in his arms, with both appearing close together in the image.","man, child, arms, carrying, close, together"
01498_mask.png,"A woman with red hair is shown making an exaggerated facial expression, with the background and setting not clearly visible.","woman, red hair, facial expression, funny face, portrait"
01524_mask.png,A person is holding a gun partially concealed inside a pocket.,"person, gun, pocket, concealed, holding"
01526_mask.png,"A woman is near a cash register, interacting with it while handling money and a small bag.","woman, cash register, money, bag, transaction, interaction"
01527_mask.png,"A person is walking down a road, holding their knee as if in pain or discomfort.","person, road, walking, knee, pain, discomfort"
01529_mask.png,"A person is wearing a brightly colored, rainbow-patterned shirt.","rainbow, shirt, colorful, clothing, person, bright, pattern"
01546_mask.png,"A man dressed in a uniform is positioned near the Eiffel Tower, which is clearly visible in the background.","man, uniform, Eiffel Tower, Paris, landmark, outdoors"
01547_mask.png,"A group of people are gathered around a table that has food on it, engaging with each other in a social setting.","group, people, table, food, gathering, social, party"
01548_mask.png,"A woman sits across from a man, resting her hand on her face, while both individuals appear to be engaged in a serious or contemplative conversation at a table.","woman, man, conversation, table, serious, face, sitting, discussion"
01564_mask.png,"A man with blonde hair is looking at the camera and smiling, with a focus on his facial expression and hair color.","man, blonde hair, smiling, camera, facial expression"
